#{"t_start": 1683782990.5241468, "env_id": null}
r,l,t
-92.8,73,394.568115
-94.700005,54,395.460032
-94.600006,55,395.460103
-93.3,68,395.947363
-94.600006,55,396.620941
-94.600006,55,398.121618
-93.5,66,398.359336
-95.0,51,398.569041
-90.8,93,399.880061
-91.8,83,399.880136
-92.600006,75,400.19888
-90.9,92,400.702949
-93.4,67,400.936752
-90.6,95,402.357185
-94.700005,54,402.849253
-91.8,83,402.849326
-90.5,96,403.360383
-93.5,66,403.51477
-91.5,86,403.634408
-93.700005,64,403.761839
-94.9,52,404.193729
-94.700005,54,404.372007
-93.00001,71,406.6821
-90.7,94,408.184859
-94.9,52,408.184961
-93.4,67,408.523237
-91.100006,90,408.602488
-94.3,58,408.725846
-92.8,73,408.978334
-93.4,67,409.059305
-91.8,83,409.40272
-92.700005,74,409.851556
-92.9,72,410.377566
-94.8,53,411.2061
-91.600006,85,411.639628
-94.700005,54,413.078574
-94.700005,54,413.202155
-94.700005,54,413.380652
-94.700005,54,413.749456
-92.8,73,414.367466
-94.600006,55,414.530574
-95.0,51,414.748873
-91.4,87,415.595438
-94.700005,54,415.828876
-91.90001,82,416.295055
-91.3,88,416.371358
-93.600006,65,417.032358
-94.700005,54,417.557635
-94.5,56,418.208004
-93.5,66,418.369349
-93.3,68,418.781267
-94.700005,54,418.781348
-94.8,53,418.866145
-94.9,52,419.62404
-92.600006,75,420.321622
-94.600006,55,420.672731
-94.700005,54,421.234434
-93.600006,65,421.371754
-92.8,73,421.448943
-95.0,51,421.576422
-94.9,52,422.636894
-94.9,52,423.152135
-94.700005,54,424.131125
-92.9,72,424.131215
-92.700005,74,424.833419
-92.700005,74,424.833497
-94.5,56,425.280629
-93.600006,65,425.575865
-94.8,53,425.57594
-94.9,52,425.668331
-94.4,57,427.07365
-94.8,53,427.23975
-92.600006,75,427.436055
-92.600006,75,427.511915
-94.8,53,428.04518
-94.700005,54,429.614866
-93.4,67,430.284288
-92.8,73,430.284382
-91.8,83,430.284402
-92.700005,74,430.406587
-95.0,51,431.212953
-92.600006,75,431.535343
-94.8,53,431.806609
